module,wm15cm,wm45cm,wm75cm,battery,when
02,935,917,1200,5.394134521484375,2017-04-25 14:50:11.223
02,886,880,1192,5.394134521484375,2017-04-25 15:20:44.486
02,853,849,1168,5.197088241577148,2017-04-25 15:51:16.383
02,834,832,1153,5.343485355377197,2017-04-25 16:21:31.726
02,818,816,1151,5.368690490722656,2017-04-25 16:51:55.756
02,803,802,1129,5.318515777587891,2017-04-25 17:22:09.686
02,796,791,1124,5.1500563621521,2017-04-25 17:52:24.892
02,785,780,1169,5.293778896331787,2017-04-25 18:22:38.105
02,780,775,1168,5.318515777587891,2017-04-25 18:52:48.703
02,778,765,1148,5.318515777587891,2017-04-25 19:22:56.451
02,778,758,1141,5.318515777587891,2017-04-25 19:53:00.571
02,776,750,1125,5.293778896331787,2017-04-25 20:22:59.130
02,781,744,1120,5.318515777587891,2017-04-25 20:52:51.317
02,783,741,1113,5.318515777587891,2017-04-25 21:22:41.595
02,784,732,1100,5.318515777587891,2017-04-25 21:52:31.244
02,788,730,1099,5.293778896331787,2017-04-25 22:22:20.231
02,786,725,1086,5.269270420074463,2017-04-25 22:52:09.210
02,788,723,1082,5.293778896331787,2017-04-25 23:21:58.114
02,792,722,1084,5.293778896331787,2017-04-25 23:51:47.036
02,791,722,1078,5.269270420074463,2017-04-26 00:21:35.280
02,790,718,1073,5.269270420074463,2017-04-26 00:51:23.134
02,790,714,1070,5.269270420074463,2017-04-26 01:21:10.806
02,792,713,1068,5.269270420074463,2017-04-26 01:50:58.322
02,794,712,1065,5.269270420074463,2017-04-26 02:20:45.850
02,795,713,1062,5.269270420074463,2017-04-26 02:50:33.148
02,794,711,1054,5.244987964630127,2017-04-26 03:20:20.352
02,794,708,1054,5.244987964630127,2017-04-26 03:50:07.442
02,793,708,1047,5.173465251922607,2017-04-26 04:19:54.754
02,799,705,1050,5.081082344055176,2017-04-26 04:49:42.179
02,796,705,1048,5.244987964630127,2017-04-26 05:19:29.528
02,798,707,1049,5.058499813079834,2017-04-26 05:49:16.770
02,790,701,1038,5.244987964630127,2017-04-26 06:19:04.049
02,792,701,1033,5.197088241577148,2017-04-26 06:48:51.029
02,797,703,1041,5.103867053985596,2017-04-26 07:18:37.798
02,797,702,1035,5.173465251922607,2017-04-26 07:48:24.484
02,798,700,1033,5.126857757568359,2017-04-26 08:18:10.996
02,799,701,1029,5.173465251922607,2017-04-26 08:47:57.568
02,798,700,1032,5.1500563621521,2017-04-26 09:17:45.065
02,798,700,1028,5.103867053985596,2017-04-26 09:47:36.058
02,793,698,1023,5.103867053985596,2017-04-26 10:17:30.940
02,788,698,1024,5.197088241577148,2017-04-26 10:47:29.656
02,782,701,1029,5.220928192138672,2017-04-26 11:17:35.664
02,771,698,1022,5.220928192138672,2017-04-26 11:47:40.556
02,767,699,1022,5.244987964630127,2017-04-26 12:17:46.523
02,768,697,1015,5.244987964630127,2017-04-26 12:47:54.332
02,771,697,1020,5.244987964630127,2017-04-26 13:18:04.155
02,763,697,1018,5.244987964630127,2017-04-26 13:48:27.343
02,754,694,1015,5.244987964630127,2017-04-26 14:18:57.945
02,748,695,1021,5.220928192138672,2017-04-26 14:49:27.004
02,742,691,1018,5.244987964630127,2017-04-26 15:19:49.393
02,739,689,1013,5.244987964630127,2017-04-26 15:50:12.541
02,741,686,1009,5.244987964630127,2017-04-26 16:20:22.750
02,744,683,1010,5.220928192138672,2017-04-26 16:50:28.685
02,753,684,1017,5.244987964630127,2017-04-26 17:20:34.423
02,752,681,1007,5.220928192138672,2017-04-26 17:50:49.733
02,760,681,1011,5.220928192138672,2017-04-26 18:20:56.167
02,765,676,1006,5.197088241577148,2017-04-26 18:50:52.249
02,775,673,1010,5.220928192138672,2017-04-26 19:20:47.196
02,784,670,1008,5.220928192138672,2017-04-26 19:50:41.720
02,787,668,1000,5.197088241577148,2017-04-26 20:20:35.583
02,800,665,998,5.197088241577148,2017-04-26 20:50:26.170
02,810,665,998,5.197088241577148,2017-04-26 21:20:15.782
02,822,665,997,5.197088241577148,2017-04-26 21:50:04.607
02,832,663,999,5.173465251922607,2017-04-26 22:19:53.063
02,839,660,992,5.173465251922607,2017-04-26 22:49:41.336
02,847,661,996,5.1500563621521,2017-04-26 23:19:29.554
02,857,663,1000,5.1500563621521,2017-04-26 23:49:17.738
02,866,660,995,5.173465251922607,2017-04-27 00:19:05.784
02,871,660,995,5.126857757568359,2017-04-27 00:48:53.640
02,879,663,997,5.126857757568359,2017-04-27 01:18:41.028
02,890,662,995,5.1500563621521,2017-04-27 01:48:28.148
