module,wm15cm,wm45cm,wm75cm,battery,when
01,1303,759,725,5.362759590148926,25/04/2017 13:57:23.063
01,1273,760,735,5.362759590148926,25/04/2017 14:28:01.686
01,1268,753,738,5.213101863861084,25/04/2017 14:36:13.741
01,1255,728,745,5.3119282722473145,25/04/2017 15:07:25.188
01,1233,692,750,5.337222576141357,25/04/2017 15:37:20.857
01,1210,653,754,5.337222576141357,25/04/2017 16:07:08.102
01,1194,618,755,5.3119282722473145,25/04/2017 16:36:50.261
01,1163,583,756,5.3119282722473145,25/04/2017 17:06:32.025
01,1142,552,754,5.3119282722473145,25/04/2017 17:36:03.387
01,1125,525,752,5.3119282722473145,25/04/2017 18:05:37.488
01,1103,502,754,5.286871910095215,25/04/2017 18:35:02.888
01,1093,482,753,5.286871910095215,25/04/2017 19:04:23.149
01,1080,463,751,5.286871910095215,25/04/2017 19:33:41.095
01,1075,447,753,5.262050628662109,25/04/2017 20:02:58.546
01,1062,430,746,5.262050628662109,25/04/2017 20:32:11.300
01,1059,416,744,5.237461566925049,25/04/2017 21:01:19.090
01,1050,399,742,5.237461566925049,25/04/2017 21:30:25.280
01,1042,388,737,5.237461566925049,25/04/2017 21:59:30.852
01,1047,375,736,5.213101863861084,25/04/2017 22:28:36.013
01,1028,361,732,5.213101863861084,25/04/2017 22:57:41.095
01,1031,355,733,5.213101863861084,25/04/2017 23:26:46.038
01,1028,347,730,5.188966751098633,25/04/2017 23:55:50.933
01,1015,338,723,5.188966751098633,26/04/2017 00:24:55.101
01,1011,328,722,5.188966751098633,26/04/2017 00:53:59.015
01,1005,321,720,5.188966751098633,26/04/2017 01:23:02.862
01,1001,316,722,5.165054798126221,26/04/2017 01:52:06.457
01,993,311,714,5.165054798126221,26/04/2017 02:21:09.963
01,999,307,712,5.165054798126221,26/04/2017 02:50:13.250
01,995,302,711,5.165054798126221,26/04/2017 03:19:16.551
01,994,294,710,5.165054798126221,26/04/2017 03:48:19.672
01,986,288,706,5.141361236572266,26/04/2017 04:17:22.973
01,976,285,705,5.141361236572266,26/04/2017 04:46:26.228
01,973,283,702,5.141361236572266,26/04/2017 05:15:29.373
01,982,281,703,5.141361236572266,26/04/2017 05:44:32.576
01,975,278,695,5.141361236572266,26/04/2017 06:13:35.620
01,969,275,694,5.117884635925293,26/04/2017 06:42:38.402
01,965,270,692,5.117884635925293,26/04/2017 07:11:41.072
01,974,269,694,5.117884635925293,26/04/2017 07:40:43.543
01,968,268,691,5.117884635925293,26/04/2017 08:09:45.798
01,965,265,689,5.0946221351623535,26/04/2017 08:38:47.933
01,969,262,687,5.0946221351623535,26/04/2017 09:07:50.759
01,959,260,685,5.0946221351623535,26/04/2017 09:36:57.198
01,956,258,684,5.117884635925293,26/04/2017 10:06:11.564
01,955,260,682,5.117884635925293,26/04/2017 10:35:32.732
01,936,257,680,5.117884635925293,26/04/2017 11:04:57.414
01,922,255,678,5.141361236572266,26/04/2017 11:34:27.886
01,918,258,675,5.141361236572266,26/04/2017 12:03:53.535
01,909,256,675,5.141361236572266,26/04/2017 12:33:20.094
01,899,256,673,5.141361236572266,26/04/2017 13:02:50.853
01,888,255,673,5.141361236572266,26/04/2017 13:32:26.201
01,872,250,672,5.141361236572266,26/04/2017 14:02:19.933
01,873,250,672,5.141361236572266,26/04/2017 14:32:10.983
01,864,252,672,5.141361236572266,26/04/2017 15:01:59.535
01,847,249,671,5.141361236572266,26/04/2017 15:31:51.677
