when,module,battery,15cm,15cm_bias,45cm,45cm_bias,75cm,75cm_bias
2017-04-25T12:34:39.848Z,02,5.220928192138672,-1,0,-1,0,-1,0
2017-04-25T12:35:30.808Z,02,4.2468743324279785,-1,0,201394,-402790,-1,0
2017-04-25T12:35:35.473Z,02,4.905872344970703,-1,0,-1,0,-1,0
2017-04-25T12:36:18.933Z,02,5.343485355377197,-1,0,-1,0,-1,0
2017-04-25T12:36:42.495Z,02,5.318515777587891,-1,0,-1,0,-1,0
2017-04-25T13:09:09.415Z,02,5.44575309753418,-1,0,-1,0,-1,0
2017-04-25T13:17:04.776Z,02,5.343485355377197,-1,0,-1,0,-1,0
2017-04-25T14:19:52.182Z,02,5.394134521484375,-1,0,-1,0,-1,0
2017-04-25T13:49:32.179Z,02,5.394134521484375,-1,0,-1,0,-1,0
2017-04-25T15:20:44.486Z,02,5.394134521484375,886,259,880,-90,1192,-277
2017-04-25T15:51:16.383Z,02,5.197088241577148,853,261,849,-81,1168,-279
2017-04-25T16:21:31.726Z,02,5.343485355377197,834,259,832,-89,1153,-274
2017-04-25T18:22:38.105Z,02,5.293778896331787,785,256,780,-61,1169,-233
2017-04-25T14:50:11.223Z,02,5.394134521484375,935,283,917,-103,1200,-266
2017-04-25T16:51:55.756Z,02,5.368690490722656,818,257,816,-79,1151,-285
2017-04-25T17:22:09.686Z,02,5.318515777587891,803,257,802,-72,1129,-267
2017-04-25T17:52:24.892Z,02,5.1500563621521,796,258,791,-73,1124,-253
2017-04-25T19:53:00.571Z,02,5.318515777587891,778,256,758,-69,1141,-217
2017-04-25T18:52:48.703Z,02,5.318515777587891,780,253,775,-71,1168,-234
2017-04-25T19:22:56.451Z,02,5.318515777587891,778,252,765,-61,1148,-230
2017-04-25T20:52:51.317Z,02,5.318515777587891,781,259,744,-64,1120,-210
2017-04-25T20:22:59.130Z,02,5.293778896331787,776,246,750,-67,1125,-215
2017-04-25T21:22:41.595Z,02,5.318515777587891,783,249,741,-55,1113,-209
2017-04-25T21:52:31.244Z,02,5.318515777587891,784,256,732,-60,1100,-203
2017-04-26T00:21:35.280Z,02,5.269270420074463,791,253,722,-50,1078,-195
2017-04-26T00:51:23.134Z,02,5.269270420074463,790,250,718,-48,1073,-195
2017-04-25T22:22:20.231Z,02,5.293778896331787,788,256,730,-58,1099,-203
2017-04-25T22:52:09.210Z,02,5.269270420074463,786,256,725,-56,1086,-203
2017-04-25T23:21:58.114Z,02,5.293778896331787,788,266,723,-62,1082,-193
2017-04-25T23:51:47.036Z,02,5.293778896331787,792,254,722,-54,1084,-199
2017-04-26T01:21:10.806Z,02,5.269270420074463,790,259,714,-51,1070,-191
2017-04-26T02:20:45.850Z,02,5.269270420074463,794,256,712,-53,1065,-186
