when,module,battery,15cm,15cm_bias,45cm,45cm_bias,75cm,75cm_bias
2017-04-25T12:39:03.235Z,03,5.312490463256836,-1,0,-1,0,-1,0
2017-04-25T12:39:29.510Z,03,5.386964321136475,-1,0,-1,0,-1,0
2017-04-25T12:39:36.948Z,03,5.169552803039551,-1,0,-1,0,-1,0
2017-04-25T12:39:41.611Z,03,5.361908912658691,-1,0,-1,0,-1,0
2017-04-25T13:10:44.531Z,03,5.216336727142334,-1,0,-1,0,-1,0
2017-04-25T13:18:41.131Z,03,5.192839622497559,-1,0,-1,0,-1,0
2017-04-25T14:18:27.808Z,03,4.947684288024902,853,220,880,237,779,-166
2017-04-25T14:50:04.577Z,03,5.240046977996826,791,219,858,246,730,-192
2017-04-25T15:50:18.262Z,03,5.361908912658691,728,212,829,252,604,-189
2017-04-25T16:20:05.185Z,03,5.361908912658691,717,228,813,260,604,-197
2017-04-25T16:50:01.336Z,03,5.337085247039795,703,224,801,266,597,-205
2017-04-25T17:49:31.180Z,03,5.312490463256836,686,224,783,270,598,-212
2017-04-25T18:48:48.195Z,03,5.263974189758301,671,230,767,276,605,-217
2017-04-25T15:20:12.344Z,03,5.386964321136475,759,222,845,253,621,-192
2017-04-25T17:19:46.940Z,03,5.312490463256836,694,222,793,264,599,-203
2017-04-25T19:18:19.925Z,03,5.240046977996826,661,231,756,273,604,-217
2017-04-25T19:47:47.753Z,03,5.240046977996826,658,229,750,272,604,-225
2017-04-25T20:46:31.693Z,03,5.192839622497559,655,239,735,278,609,-224
2017-04-25T18:19:12.410Z,03,5.288120746612549,677,236,773,270,601,-206
2017-04-25T22:14:20.621Z,03,5.123601913452148,658,243,715,267,607,-226
2017-04-25T20:17:11.882Z,03,5.216336727142334,656,240,742,278,608,-223
2017-04-25T22:43:35.718Z,03,5.100930690765381,659,235,711,269,608,-228
2017-04-25T23:12:51.161Z,03,5.100930690765381,659,242,706,270,609,-229
2017-04-25T21:15:48.888Z,03,5.169552803039551,655,241,725,271,606,-226
2017-04-25T21:45:05.178Z,03,5.146474838256836,657,235,723,270,607,-229
2017-04-26T00:11:21.203Z,03,5.0784592628479,661,244,697,270,610,-230
2017-04-26T00:40:35.325Z,03,5.056185722351074,661,238,691,261,602,-228
2017-04-25T23:42:06.416Z,03,5.0784592628479,660,246,700,260,604,-223
2017-04-26T02:08:16.032Z,03,5.034106254577637,664,240,681,258,601,-231
2017-04-26T01:09:49.123Z,03,5.056185722351074,662,237,688,264,604,-232
2017-04-26T01:39:02.603Z,03,5.034106254577637,663,245,684,259,607,-225
2017-04-26T03:06:42.959Z,03,5.012218952178955,664,236,675,262,607,-236
2017-04-26T02:37:29.372Z,03,5.012218952178955,665,241,680,264,604,-228
2017-04-26T03:35:55.446Z,03,4.990521430969238,666,243,675,257,603,-227
2017-04-26T04:05:08.227Z,03,4.926540374755859,665,237,670,261,603,-231
2017-04-26T04:34:21.416Z,03,4.947684288024902,667,239,670,260,602,-234
2017-04-26T05:03:34.494Z,03,4.947684288024902,667,241,668,260,605,-230
2017-04-26T05:32:47.523Z,03,4.926540374755859,667,249,667,256,599,-224
2017-04-26T06:02:00.413Z,03,4.88478946685791,665,246,663,251,594,-220
2017-04-26T07:00:25.539Z,03,4.823474407196045,667,247,663,250,598,-221
2017-04-26T08:28:01.750Z,03,4.823474407196045,669,250,657,252,600,-224
2017-04-26T08:57:13.812Z,03,4.8033766746521,667,249,656,250,599,-228
2017-04-26T09:26:27.707Z,03,4.88478946685791,668,242,652,255,600,-233
2017-04-26T09:55:48.931Z,03,4.905575752258301,668,248,652,252,604,-228
2017-04-26T10:54:44.434Z,03,4.947684288024902,664,249,650,247,600,-219
2017-04-26T10:25:14.983Z,03,4.926540374755859,668,250,655,252,600,-225
2017-04-26T11:24:22.210Z,03,4.947684288024902,660,248,650,250,598,-228
2017-04-26T12:23:31.165Z,03,4.947684288024902,656,247,649,256,601,-226
2017-04-26T11:53:56.140Z,03,4.947684288024902,660,249,648,252,603,-229
2017-04-26T12:53:09.917Z,03,4.947684288024902,651,254,645,251,601,-229
2017-04-26T13:22:48.560Z,03,4.947684288024902,651,246,646,254,602,-227
2017-04-26T13:52:45.193Z,03,4.969010353088379,648,254,646,252,605,-224
2017-04-26T14:22:47.323Z,03,4.969010353088379,646,248,648,251,604,-227
2017-04-26T14:52:46.884Z,03,4.969010353088379,640,254,644,249,600,-220
2017-04-26T15:22:40.142Z,03,4.969010353088379,637,252,646,248,602,-225
2017-04-26T15:52:31.534Z,03,4.947684288024902,633,249,644,251,604,-228
2017-04-26T16:22:08.980Z,03,4.926540374755859,629,248,639,253,603,-235
2017-04-26T16:51:42.816Z,03,4.905575752258301,625,246,634,254,606,-234
2017-04-26T17:21:16.338Z,03,4.88478946685791,620,249,633,246,602,-226
2017-04-26T17:50:58.276Z,03,4.88478946685791,619,249,633,251,603,-227
2017-04-26T18:20:30.798Z,03,4.864178657531738,617,253,632,244,600,-229
2017-04-26T19:48:32.467Z,03,4.783445358276367,614,259,628,244,603,-229
2017-04-26T20:17:50.931Z,03,4.763679027557373,614,248,625,251,605,-231
2017-04-26T20:47:06.713Z,03,4.744075775146484,614,257,621,245,605,-226
2017-04-26T18:49:52.958Z,03,4.823474407196045,615,257,628,245,605,-225
2017-04-26T19:19:13.255Z,03,4.8033766746521,614,253,628,251,606,-230
2017-04-26T21:16:21.273Z,03,4.724632740020752,613,258,620,245,603,-228
2017-04-26T22:14:47.741Z,03,4.686221122741699,614,264,619,235,599,-219
2017-04-26T22:44:00.316Z,03,4.686221122741699,618,260,620,244,603,-228
2017-04-26T21:45:34.838Z,03,4.705348491668701,615,256,623,244,604,-227
2017-04-26T23:13:12.824Z,03,4.667248249053955,615,252,617,242,601,-228
2017-04-27T00:11:37.547Z,03,4.648428916931152,615,257,616,237,600,-230
2017-04-27T00:40:49.700Z,03,4.648428916931152,618,255,615,245,604,-227
2017-04-26T23:42:25.271Z,03,4.667248249053955,616,263,617,239,602,-225
2017-04-27T01:39:12.745Z,03,4.629760265350342,619,256,616,240,602,-232
2017-04-27T02:08:23.696Z,03,4.629760265350342,618,259,614,242,601,-229
2017-04-27T02:37:34.528Z,03,4.611241340637207,620,259,611,235,601,-224
2017-04-27T03:06:45.098Z,03,4.611241340637207,620,264,614,234,603,-222
2017-04-27T01:10:01.348Z,03,4.629760265350342,617,264,614,234,601,-222
2017-04-27T05:03:26.530Z,03,4.592870235443115,623,260,611,238,607,-217
2017-04-27T06:01:46.942Z,03,4.574644565582275,621,265,610,233,602,-214
2017-04-27T04:34:16.242Z,03,4.592870235443115,622,255,611,247,605,-223
2017-04-27T07:00:07.474Z,03,4.574644565582275,624,267,613,230,604,-216
2017-04-27T07:58:27.801Z,03,4.556562900543213,626,263,612,241,608,-222
2017-04-27T05:32:36.777Z,03,4.592870235443115,624,259,611,237,605,-213
2017-04-27T06:30:57.167Z,03,4.574644565582275,623,256,611,237,606,-220
2017-04-27T10:54:05.975Z,03,4.667248249053955,622,264,613,237,608,-212
2017-04-27T13:20:36.061Z,03,4.611241340637207,612,245,621,246,614,-231
2017-04-27T13:49:56.737Z,03,4.629760265350342,609,255,625,240,613,-219
2017-04-28T17:17:03.743Z,03,4.400039196014404,1266,390,709,244,1349,-405
2017-04-28T20:14:16.363Z,03,4.131936550140381,1170,366,670,240,1270,-402
2017-04-28T22:11:05.367Z,03,3.9889633655548096,1124,360,651,230,1219,-385
2017-04-29T00:07:43.578Z,03,3.921123504638672,1085,350,633,230,1179,-371
2017-04-29T00:36:51.593Z,03,3.9078316688537598,1084,348,634,231,1171,-372
2017-04-29T01:05:59.663Z,03,3.894629716873169,1071,352,629,229,1165,-370
2017-04-27T09:55:17.090Z,03,4.611241340637207,627,262,615,238,608,-223
2017-04-29T03:31:37.277Z,03,3.855552911758423,1035,331,623,226,1088,-345
2017-04-29T04:00:44.783Z,03,3.855552911758423,1172,361,671,243,1094,-347
2017-04-29T04:29:51.996Z,03,3.8427011966705322,1251,388,669,241,1112,-344
2017-04-29T04:58:58.886Z,03,3.829934597015381,1291,401,666,232,1142,-350
2017-04-29T05:28:05.412Z,03,3.8172528743743896,1309,399,667,237,1152,-356
2017-04-29T05:57:11.658Z,03,3.804654598236084,1325,396,660,236,1157,-357
2017-04-29T06:26:17.330Z,03,3.7921392917633057,1323,388,653,239,1156,-360
2017-04-29T06:55:22.736Z,03,3.7921392917633057,1318,381,652,235,1150,-354
2017-04-29T07:24:27.949Z,03,3.7797062397003174,1309,391,644,230,1147,-352
2017-04-29T09:20:47.088Z,03,3.7428908348083496,1278,397,634,223,1135,-341
2017-04-29T10:19:00.340Z,03,3.755082607269287,1262,384,634,226,1130,-342
2017-04-29T10:48:12.965Z,03,3.855552911758423,1246,379,632,226,1124,-343
2017-04-29T12:16:40.420Z,03,4.002813816070557,1207,370,623,225,1113,-339
2017-04-29T14:15:30.360Z,03,4.0591912269592285,1140,362,617,222,1092,-337
2017-04-29T15:15:16.182Z,03,4.087979793548584,1109,352,615,227,1088,-335
2017-04-29T16:15:04.109Z,03,4.087979793548584,1080,345,610,224,1079,-334
2017-04-29T18:45:50.070Z,03,3.921123504638672,1003,329,594,219,1055,-340
2017-04-29T19:15:25.061Z,03,3.894629716873169,996,329,594,219,1052,-333
2017-04-29T20:14:20.412Z,03,3.7921392917633057,975,321,587,218,1035,-328
2017-04-29T21:42:19.693Z,03,3.7067856788635254,958,318,584,214,1029,-328
2017-04-29T22:40:56.394Z,03,3.671370506286621,949,321,581,212,1015,-319
2017-04-29T23:10:13.780Z,03,3.659715414047241,943,312,580,212,1012,-323
2017-04-30T02:05:51.888Z,03,3.5690722465515137,918,312,570,210,985,-315
2017-04-30T02:35:06.780Z,03,3.5471088886260986,915,300,572,214,989,-322
2017-04-30T03:04:21.192Z,03,3.5362281799316406,911,298,572,213,984,-313
2017-04-27T11:23:25.170Z,03,4.648428916931152,622,262,614,239,608,-222
2017-04-27T11:52:43.572Z,03,4.629760265350342,621,260,612,240,609,-219
2017-04-27T12:22:03.068Z,03,4.611241340637207,620,260,612,240,608,-221
2017-04-27T03:35:55.456Z,03,4.611241340637207,620,260,614,232,601,-228
2017-04-27T04:05:05.835Z,03,4.592870235443115,620,259,611,239,601,-227
2017-04-30T04:32:02.307Z,03,3.4933645725250244,897,302,567,212,975,-314
2017-04-30T05:59:40.876Z,03,3.4515280723571777,886,297,568,214,964,-307
2017-04-30T06:28:53.399Z,03,3.430983066558838,888,295,728,277,1087,-363
