when,module,battery,15cm,15cm_bias,45cm,45cm_bias,75cm,75cm_bias
2017-04-26T13:57:36.724Z,04,5.120014667510986,434,-751,1279,-420,615,158
2017-04-26T14:27:38.097Z,04,5.120014667510986,430,-746,1279,-425,617,162
2017-04-26T14:57:38.161Z,04,5.120014667510986,427,-746,1273,-424,615,159
2017-04-26T15:27:37.043Z,04,5.120014667510986,430,-743,1266,-423,612,158
2017-04-26T15:57:34.119Z,04,5.096528053283691,427,-750,1262,-409,608,153
2017-04-26T16:27:25.233Z,04,5.096528053283691,428,-749,1255,-419,606,157
2017-04-26T16:57:12.302Z,04,5.073256015777588,432,-761,1248,-415,604,158
2017-04-26T17:27:00.784Z,04,5.073256015777588,438,-766,1249,-418,605,159
2017-04-26T17:56:55.476Z,04,5.073256015777588,440,-775,1242,-413,602,157
2017-04-26T18:26:42.392Z,04,5.050196170806885,441,-781,1233,-404,598,152
2017-04-26T18:56:22.463Z,04,5.027344703674316,446,-787,1226,-401,594,161
2017-04-26T19:26:01.889Z,04,5.027344703674316,449,-793,1226,-407,592,156
2017-04-26T20:25:16.966Z,04,4.982255935668945,462,-807,1217,-399,591,162
2017-04-26T19:55:40.346Z,04,5.004698753356934,455,-803,1222,-403,588,155
2017-04-26T20:54:52.058Z,04,4.982255935668945,469,-812,1210,-400,589,163
2017-04-26T21:54:00.135Z,04,4.93796968460083,481,-829,1199,-394,587,156
2017-04-26T22:23:33.298Z,04,4.93796968460083,486,-835,1194,-392,585,152
2017-04-26T21:24:26.379Z,04,4.960014343261719,476,-823,1204,-402,586,155
2017-04-26T23:22:39.173Z,04,4.9161200523376465,497,-850,1187,-379,581,144
2017-04-26T22:53:06.240Z,04,4.93796968460083,492,-842,1195,-386,583,155
2017-04-27T12:52:57.616Z,04,4.687945365905762,550,-950,1111,-338,572,153
2017-04-27T13:52:54.325Z,04,4.748047828674316,546,-951,1136,-365,557,144
2017-05-01T04:17:21.608Z,04,3.07768177986145,770,-606,1007,-337,1368,323
2017-05-01T06:14:16.735Z,04,3.0356369018554688,806,-524,1004,-330,1291,304
