Date,d15cm_unified,d45cm_unified,d75cm_unified,temp_inst,temp_med,temp_min,umid_inst,umid_med,umid_min,pto_orvalho_inst,pto_orvalho_med,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao,EToPM
2016-02-05 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-06 00:00:00.000,NaN,NaN,NaN,28.7375,35.2,26,69.4583333333333,81,43,22.3125,23.5,19.6,99.9666666666667,1001.8,997.6,3.90833333333333,102.541666666667,7.97083333333333,21.04765,0,8.96854525368704
2016-02-07 00:00:00.000,NaN,NaN,NaN,28.45,35,24.9,54.8333333333333,72,33,18.0125,20.6,15.3,100.22125,1004,999.8,4.475,108.916666666667,9.4625,19.83204,0,12.619595112165
2016-02-08 00:00:00.000,NaN,NaN,NaN,28.3791666666667,35.8,24.4,52.25,75,26,16.8916666666667,19.9,12.7,100.215,1004,999.9,4.73333333333333,117.625,10.1416666666667,23.226287,0,11.9885348154851
2016-02-09 00:00:00.000,NaN,NaN,NaN,28.7458333333333,36.3,24.7,51.4166666666667,73,23,16.7125,20.5,11.2,100.16875,1003.8,998.9,5.59583333333333,108.166666666667,11.3833333333333,24.1674,0,13.1534567462311
2016-02-10 00:00:00.000,NaN,NaN,NaN,28.3791666666667,35.8,24.8,59.3333333333333,76,30,18.9875,21.3,15.1,99.9316666666667,1001.6,996.6,5.94583333333333,107.583333333333,11.5666666666667,24.44861,0,11.5620465773791
2016-02-11 00:00:00.000,NaN,NaN,NaN,29.1916666666667,37,25.4,52.875,72,28,17.8291666666667,20.7,14.4,99.9483333333334,1001,997,5.6125,111.666666666667,11.5791666666667,25.28836,0,14.1161599632694
2016-02-12 00:00:00.000,NaN,NaN,NaN,29.1833333333333,37.6,25.7,59.4166666666667,75,29,19.85,21.4,15.8,99.9733333333333,1001.3,997.1,5.6875,110.333333333333,11.5416666666667,23.51329,0,12.9876146040819
2016-02-13 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-14 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-15 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-16 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-17 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-18 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-19 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-20 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-21 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-22 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-23 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-24 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-25 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-26 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-27 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-28 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-29 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-03-01 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-03-02 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-03-03 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-03-04 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-03-05 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-03-06 00:00:00.000,NaN,NaN,NaN,27.9583333333333,33.3,24.9,76,91,55,23.175,25.5,22.3,100.023333333333,1002.1,997.9,3.78333333333333,101.083333333333,7.3625,15.85259,0.8,4.14844663028408
2016-03-07 00:00:00.000,NaN,NaN,NaN,28.7833333333333,35.5,25.4,55.0833333333333,77,25,17.8791666666667,21.5,11.9,100.270416666667,1004.2,1000.3,4.47083333333333,119.708333333333,9.7375,21.231921,0,10.8794113053672
2016-03-08 00:00:00.000,NaN,NaN,NaN,29.1583333333333,37,24.8,50.2083333333333,74,24,16.9916666666667,20.1,12.8,100.167083333333,1004.1,999.2,4.4375,123.041666666667,10.2291666666667,23.005638,0,13.1542520837591
2016-03-09 00:00:00.000,NaN,NaN,NaN,28.5166666666667,34.9,25.1,54.25,74,29,17.7041666666667,20.8,13.5,100.120833333333,1003.4,998.9,5.9,112.208333333333,11.7875,23.54701,0,11.9067511221908
2016-03-10 00:00:00.000,NaN,NaN,NaN,29.2833333333333,36.5,25.1,49.5833333333333,72,26,16.725,20.6,13.7,99.9525,1001.6,996.3,6.43333333333333,111.333333333333,12.1083333333333,25.04697,0,13.7849939947376
